amplitude:           fft:            abs(fft): 
8.02095        -2.87109e+08       2.87109e+08
7.99889        -1.17171e+08       1.17171e+08
8.02408        5.11296e+07       5.11296e+07
8.01521        2.14231e+08       2.14231e+08
8.04554        3.68789e+08       3.68789e+08
7.963        5.11738e+08       5.11738e+08
7.92171        6.4035e+08       6.4035e+08
7.93098        7.52276e+08       7.52276e+08
8.0282        8.4559e+08       8.4559e+08
7.9818        9.18811e+08       9.18811e+08
7.93053        9.70928e+08       9.70928e+08
8.06534        1.0014e+09       1.0014e+09
7.96001        1.01018e+09       1.01018e+09
8.05699        9.97643e+08       9.97643e+08
7.91445        9.6465e+08       9.6465e+08
7.92096        9.12452e+08       9.12452e+08
8.084        8.42684e+08       8.42684e+08
7.99851        7.57312e+08       7.57312e+08
8.00185        6.58588e+08       6.58588e+08
8.02126        5.48993e+08       5.48993e+08
7.92012        4.31177e+08       4.31177e+08
8.04947        3.07906e+08       3.07906e+08
8.01056        1.81994e+08       1.81994e+08
7.93532        5.62454e+07       5.62454e+07
8.09034        -6.66051e+07       6.66051e+07
7.91118        -1.83948e+08       1.83948e+08
8.07286        -2.93353e+08       2.93353e+08
7.90294        -3.92614e+08       3.92614e+08
7.94351        -4.79795e+08       4.79795e+08
7.9682        -5.53263e+08       5.53263e+08
8.06048        -6.11717e+08       6.11717e+08
8.05964        -6.54206e+08       6.54206e+08
7.98048        -6.80148e+08       6.80148e+08
7.91323        -6.89329e+08       6.89329e+08
8.00961        -6.81902e+08       6.81902e+08
8.06161        -6.58376e+08       6.58376e+08
8.07905        -6.196e+08       6.196e+08
7.97223        -5.66735e+08       5.66735e+08
7.94589        -5.01223e+08       5.01223e+08
7.91076        -4.24754e+08       4.24754e+08
7.91893        -3.39219e+08       3.39219e+08
7.92931        -2.46671e+08       2.46671e+08
7.90942        -1.49276e+08       1.49276e+08
7.97972        -4.9262e+07       4.9262e+07
8.00685        5.11278e+07       5.11278e+07
7.95183        1.49684e+08       1.49684e+08
7.97974        2.44279e+08       2.44279e+08
8.0368        3.3291e+08       3.3291e+08
7.90143        4.13741e+08       4.13741e+08
8.01534        4.8514e+08       4.8514e+08
7.90085        5.4571e+08       5.4571e+08
8.07102        5.94312e+08       5.94312e+08
8.0383        6.30093e+08       6.30093e+08
7.92855        6.52491e+08       6.52491e+08
7.90621        6.61247e+08       6.61247e+08
7.91709        6.56403e+08       6.56403e+08
7.95499        6.38301e+08       6.38301e+08
7.95845        6.07562e+08       6.07562e+08
7.94373        5.65076e+08       5.65076e+08
8.08046        5.11973e+08       5.11973e+08
7.91602        4.49597e+08       4.49597e+08
8.05517        3.79474e+08       3.79474e+08
7.90075        3.03274e+08       3.03274e+08
7.96223        2.2277e+08       2.2277e+08
7.93786        1.39806e+08       1.39806e+08
8.07708        5.62476e+07       5.62476e+07
8.02911        -2.6056e+07       2.6056e+07
8.08426        -1.05311e+08       1.05311e+08
8.01391        -1.79819e+08       1.79819e+08
8.01571        -2.4801e+08       2.4801e+08
7.97005        -3.0848e+08       3.0848e+08
7.91406        -3.60011e+08       3.60011e+08
7.93953        -4.01602e+08       4.01602e+08
8.02086        -4.32486e+08       4.32486e+08
7.97931        -4.52138e+08       4.52138e+08
8.08989        -4.60293e+08       4.60293e+08
7.93706        -4.56936e+08       4.56936e+08
8.02547        -4.42309e+08       4.42309e+08
7.95204        -4.16898e+08       4.16898e+08
8.04569        -3.81416e+08       3.81416e+08
8.08077        -3.3679e+08       3.3679e+08
7.97071        -2.84132e+08       2.84132e+08
8.04789        -2.24719e+08       2.24719e+08
8.03609        -1.59954e+08       1.59954e+08
7.92188        -9.13424e+07       9.13424e+07
8.03097        -2.04503e+07       2.04503e+07
7.91591        5.11252e+07       5.11252e+07
7.96145        1.21794e+08       1.21794e+08
7.91357        1.90008e+08       1.90008e+08
8.03881        2.54294e+08       2.54294e+08
7.91966        3.13282e+08       3.13282e+08
7.99281        3.65739e+08       3.65739e+08
8.03598        4.10592e+08       4.10592e+08
7.90999        4.46948e+08       4.46948e+08
7.96211        4.74113e+08       4.74113e+08
7.99693        4.91605e+08       4.91605e+08
8.02119        4.99159e+08       4.99159e+08
8.06853        4.96735e+08       4.96735e+08
7.91069        4.84512e+08       4.84512e+08
7.96128        4.62881e+08       4.62881e+08
7.97824        4.32438e+08       4.32438e+08
8.07159        3.93964e+08       3.93964e+08
8.02232        3.4841e+08       3.4841e+08
8.019        2.96867e+08       2.96867e+08
8.01813        2.4055e+08       2.4055e+08
8.03455        1.8076e+08       1.8076e+08
7.96831        1.18862e+08       1.18862e+08
8.07397        5.62507e+07       5.62507e+07
8.07879        -5.68086e+06       5.68086e+06
8.05602        -6.55701e+07       6.55701e+07
8.05948        -1.22116e+08       1.22116e+08
8.02574        -1.74105e+08       1.74105e+08
7.95013        -2.2044e+08       2.2044e+08
8.04278        -2.6016e+08       2.6016e+08
8.07107        -2.92462e+08       2.92462e+08
7.9946        -3.16714e+08       3.16714e+08
8.09901        -3.3247e+08       3.3247e+08
7.93483        -3.39476e+08       3.39476e+08
8.06779        -3.37676e+08       3.37676e+08
7.9465        -3.27205e+08       3.27205e+08
8.09421        -3.08392e+08       3.08392e+08
7.93037        -2.81745e+08       2.81745e+08
8.02878        -2.47938e+08       2.47938e+08
7.91813        -2.07799e+08       2.07799e+08
8.0315        -1.62284e+08       1.62284e+08
7.9108        -1.12458e+08       1.12458e+08
8.07267        -5.94724e+07       5.94724e+07
8.04188        -4.53322e+06       4.53322e+06
7.9586        5.11215e+07       5.11215e+07
8.06573        1.06252e+08       1.06252e+08
8.08251        1.59641e+08       1.59641e+08
7.9708        2.10125e+08       2.10125e+08
7.90017        2.56615e+08       2.56615e+08
7.91796        2.98121e+08       2.98121e+08
7.93082        3.33775e+08       3.33775e+08
7.90371        3.62846e+08       3.62846e+08
8.08283        3.84756e+08       3.84756e+08
7.94852        3.99093e+08       3.99093e+08
7.90457        4.05612e+08       4.05612e+08
8.01008        4.04249e+08       4.04249e+08
7.96014        3.95111e+08       3.95111e+08
8.0216        3.78477e+08       3.78477e+08
7.93018        3.54789e+08       3.54789e+08
8.0551        3.24642e+08       3.24642e+08
8.03763        2.88767e+08       2.88767e+08
8.00965        2.48013e+08       2.48013e+08
7.99853        2.03332e+08       2.03332e+08
8.02467        1.55752e+08       1.55752e+08
8.09778        1.06355e+08       1.06355e+08
8.01826        5.62547e+07       5.62547e+07
7.98994        6.56784e+06       6.56784e+06
7.95039        -4.16072e+07       4.16072e+07
8.02502        -8.72162e+07       8.72162e+07
8.01127        -1.29271e+08       1.29271e+08
8.09921        -1.66873e+08       1.66873e+08
7.93456        -1.99227e+08       1.99227e+08
8.03072        -2.25665e+08       2.25665e+08
8.0357        -2.45654e+08       2.45654e+08
8.06055        -2.58809e+08       2.58809e+08
7.97518        -2.649e+08       2.649e+08
8.07823        -2.63855e+08       2.63855e+08
8.04679        -2.55762e+08       2.55762e+08
7.97265        -2.40862e+08       2.40862e+08
7.99096        -2.19546e+08       2.19546e+08
7.90782        -1.92344e+08       1.92344e+08
7.93297        -1.59912e+08       1.59912e+08
7.92367        -1.23014e+08       1.23014e+08
8.04631        -8.25091e+07       8.25091e+07
8.06177        -3.93264e+07       3.93264e+07
7.94088        5.55278e+06       5.55278e+06
8.0162        5.11173e+07       5.11173e+07
7.97635        9.63501e+07       9.63501e+07
7.90925        1.4025e+08       1.4025e+08
7.90035        1.81855e+08       1.81855e+08
7.99227        2.2026e+08       2.2026e+08
8.01188        2.54639e+08       2.54639e+08
8.0714        2.84263e+08       2.84263e+08
8.04944        3.08515e+08       3.08515e+08
8.0584        3.269e+08       3.269e+08
8.00443        3.39058e+08       3.39058e+08
8.04635        3.44772e+08       3.44772e+08
8.05939        3.43966e+08       3.43966e+08
7.91052        3.36712e+08       3.36712e+08
8.05124        3.23224e+08       3.23224e+08
8.03412        3.03851e+08       3.03851e+08
8.05963        2.7907e+08       2.7907e+08
7.95906        2.49476e+08       2.49476e+08
7.9202        2.15763e+08       2.15763e+08
7.96175        1.78714e+08       1.78714e+08
8.06284        1.39177e+08       1.39177e+08
7.95387        9.80507e+07       9.80507e+07
8.07497        5.62595e+07       5.62595e+07
7.90818        1.47375e+07       1.47375e+07
7.98985        -2.55955e+07       2.55955e+07
8.00927        -6.38527e+07       6.38527e+07
8.09987        -9.92008e+07       9.92008e+07
7.92933        -1.30877e+08       1.30877e+08
8.09475        -1.58206e+08       1.58206e+08
8.02901        -1.80613e+08       1.80613e+08
7.92493        -1.9764e+08       1.9764e+08
8.08309        -2.08947e+08       2.08947e+08
7.98977        -2.14327e+08       2.14327e+08
7.93132        -2.13706e+08       2.13706e+08
8.0509        -2.07141e+08       2.07141e+08
8.05423        -1.94824e+08       1.94824e+08
8.0704        -1.7707e+08       1.7707e+08
8.07387        -1.54314e+08       1.54314e+08
7.97421        -1.27099e+08       1.27099e+08
7.97957        -9.60611e+07       9.60611e+07
7.9403        -6.19189e+07       6.19189e+07
8.07879        -2.54536e+07       2.54536e+07
8.01202        1.2508e+07       1.2508e+07
8.07283        5.11118e+07       5.11118e+07
8.03633        8.94951e+07       8.94951e+07
8.05765        1.26807e+08       1.26807e+08
7.92716        1.62225e+08       1.62225e+08
8.04966        1.94977e+08       1.94977e+08
8.05358        2.24354e+08       2.24354e+08
8.03648        2.49726e+08       2.49726e+08
7.95319        2.70558e+08       2.70558e+08
7.95272        2.86419e+08       2.86419e+08
7.97032        2.96991e+08       2.96991e+08
7.98078        3.02077e+08       3.02077e+08
8.01937        3.016e+08       3.016e+08
7.9766        2.95611e+08       2.95611e+08
8.07304        2.8428e+08       2.8428e+08
8.02047        2.67896e+08       2.67896e+08
7.97564        2.46858e+08       2.46858e+08
8.09282        2.21665e+08       2.21665e+08
7.98141        1.92905e+08       1.92905e+08
8.07496        1.61242e+08       1.61242e+08
8.01769        1.27398e+08       1.27398e+08
8.07488        9.21418e+07       9.21418e+07
8.07332        5.62654e+07       5.62654e+07
8.07807        2.05707e+07       2.05707e+07
7.91185        -1.41499e+07       1.41499e+07
7.92322        -4.71312e+07       4.71312e+07
7.90986        -7.76514e+07       7.76514e+07
8.00311        -1.05048e+08       1.05048e+08
8.02021        -1.28733e+08       1.28733e+08
8.09027        -1.48204e+08       1.48204e+08
8.06033        -1.63055e+08       1.63055e+08
8.08784        -1.72987e+08       1.72987e+08
7.92553        -1.77809e+08       1.77809e+08
7.90533        -1.77449e+08       1.77449e+08
7.92722        -1.71947e+08       1.71947e+08
8.05944        -1.61459e+08       1.61459e+08
8.05629        -1.46249e+08       1.46249e+08
7.99975        -1.26686e+08       1.26686e+08
7.97124        -1.03232e+08       1.03232e+08
7.95958        -7.64344e+07       7.64344e+07
7.91165        -4.69088e+07       4.69088e+07
7.93176        -1.53295e+07       1.53295e+07
7.93629        1.75887e+07       1.75887e+07
7.96938        5.11056e+07       5.11056e+07
8.0865        8.44718e+07       8.44718e+07
8.01159        1.16946e+08       1.16946e+08
8.07446        1.47813e+08       1.47813e+08
8.03439        1.76394e+08       1.76394e+08
8.09643        2.0207e+08       2.0207e+08
7.92639        2.24285e+08       2.24285e+08
7.97107        2.42569e+08       2.42569e+08
8.08963        2.56537e+08       2.56537e+08
8.00271        2.65905e+08       2.65905e+08
